Base Tag,FT View Address,Studio 5000 Address,Alarm Text
Hmi.AlarmF[2],Hmi.AlarmF[2].24,Hmi.AlarmF[2].23,TELESCOPE FEEDER DEFLECTOR AC DRIVE FAULT
Hmi.AlarmF[2],Hmi.AlarmF[2].25,Hmi.AlarmF[2].24,TELESCOPE FEEDER INSPECTION BELTS AC DRIVE FAULT
Hmi.AlarmF[2],Hmi.AlarmF[2].26,Hmi.AlarmF[2].25,TELESCOPE FEEDER ORIENTING ROLLS AC DRIVE FAULT
Hmi.AlarmF[2],Hmi.AlarmF[2].27,Hmi.AlarmF[2].26,TELESCOPE FEEDER SAFETY VALVE DISCHARGE PRESSURE ALARM [3PS]
Hmi.AlarmF[2],Hmi.AlarmF[2].28,Hmi.AlarmF[2].27,TELESCOPE FEEDER AIRVEYOR MOTOR OVERLOAD ALARM
Hmi.AlarmF[2],Hmi.AlarmF[2].29,Hmi.AlarmF[2].28,TELESCOPE FEEDER VISION SYSTEM NOT IN RUN MODE ALARM
Hmi.AlarmF[2],Hmi.AlarmF[2].30,Hmi.AlarmF[2].29,TELESCOPE FEEDER DISCHARGE JAM ALARM [6PEC]
Hmi.AlarmF[3],Hmi.AlarmF[3].16,Hmi.AlarmF[3].15,PLUNGER FEEDER LOW AIR PRESSURE ALARM [1PS]
Hmi.AlarmF[3],Hmi.AlarmF[3].17,Hmi.AlarmF[3].16,PLUNGER FEEDER JAM ALARM [2PEC]
Hmi.AlarmF[3],Hmi.AlarmF[3].18,Hmi.AlarmF[3].17,SPARE
Hmi.AlarmF[3],Hmi.AlarmF[3].19,Hmi.AlarmF[3].18,PLUNGER FEEDER SAFETY VALVE PRESSURE ALARM [2PS]
Hmi.AlarmF[3],Hmi.AlarmF[3].20,Hmi.AlarmF[3].19,PLUNGER FEEDER INNER DISC AC DRIVE FAULT
Hmi.AlarmF[3],Hmi.AlarmF[3].21,Hmi.AlarmF[3].20,PLUNGER FEEDER OUTER DISC AC DRIVE FAULT
Hmi.AlarmF[3],Hmi.AlarmF[3].22,Hmi.AlarmF[3].21,PLUNGER FEEDER DECLINE BELTS AC DRIVE FAULT
Hmi.AlarmF[3],Hmi.AlarmF[3].23,Hmi.AlarmF[3].22,PLUNGER FEEDER SUPPLY HOPPER AC DRIVE FAULT
Hmi.AlarmF[3],Hmi.AlarmF[3].24,Hmi.AlarmF[3].23,PLUNGER FEEDER DEFLECTOR AC DRIVE FAULT
Hmi.AlarmF[3],Hmi.AlarmF[3].25,Hmi.AlarmF[3].24,SPARE
Hmi.AlarmF[3],Hmi.AlarmF[3].26,Hmi.AlarmF[3].25,SPARE
Hmi.AlarmF[3],Hmi.AlarmF[3].27,Hmi.AlarmF[3].26,PLUNGER FEEDER SAFETY VALVE DISCHARGE PRESSURE ALARM [3PS]
